# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
200 83 17453.000000000004
  1 0.5 208.3 0.261195
  2 1.5 238.8 0.276079
  3 2.5 216.1 0.28982
  4 3.5 173.9 0.301379
  5 4.5 240.4 0.308788
  6 5.5 258.4 0.317016
  7 6.5 175.3 0.317622
  8 7.5 211.9 0.315671
  9 8.5 282.4 0.319737
  10 9.5 181.2 0.315393
  11 10.5 176.4 0.317203
  12 11.5 285.6 0.321845
  13 12.5 213.7 0.31776
  14 13.5 169.3 0.315882
  15 14.5 193.7 0.314219
  16 15.5 287.8 0.317944
  17 16.5 194.2 0.314111
  18 17.5 170.9 0.316134
  19 18.5 216.8 0.315829
  20 19.5 277.8 0.319327
  21 20.5 179.8 0.316509
  22 21.5 171.7 0.316931
  23 22.5 230.5 0.318039
  24 23.5 266.4 0.315606
  25 24.5 176.4 0.312659
  26 25.5 172.5 0.314782
  27 26.5 238.6 0.31545
  28 27.5 260.8 0.318066
  29 28.5 173.1 0.315578
  30 29.5 173.7 0.312414
  31 30.5 248.2 0.321834
  32 31.5 250.3 0.322934
  33 32.5 172.8 0.316706
  34 33.5 170.8 0.318665
  35 34.5 211.7 0.31674
  36 35.5 264.5 0.32066
  37 36.5 197.1 0.316049
  38 37.5 172.6 0.310032
  39 38.5 206.6 0.297313
  40 39.5 226.3 0.281694
  41 40.5 216.4 0.264649
  42 41.5 206.4 0.264166
  43 42.5 199.3 0.264213
  44 43.5 208.7 0.265702
  45 44.5 201.3 0.260955
  46 45.5 207 0.263014
  47 46.5 200.1 0.263224
  48 47.5 201.1 0.264415
  49 48.5 200.2 0.261327
  50 49.5 202.6 0.262683
  51 50.5 203.7 0.262039
  52 51.5 205.2 0.26065
  53 52.5 208.9 0.260282
  54 53.5 209.9 0.261477
  55 54.5 208.6 0.261887
  56 55.5 209.1 0.260369
  57 56.5 210.5 0.257413
  58 57.5 210.7 0.260394
  59 58.5 213.9 0.258863
  60 59.5 216.6 0.259126
  61 60.5 202.9 0.258313
  62 61.5 210.2 0.263362
  63 62.5 211.8 0.260535
  64 63.5 213.7 0.256869
  65 64.5 209.1 0.258835
  66 65.5 210.2 0.257943
  67 66.5 215.9 0.256625
