# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17452.999999999996
  1 0.5 200.5 0.288472
  2 1.5 249.4 0.294728
  3 2.5 221.6 0.301465
  4 3.5 171.5 0.308061
  5 4.5 192.4 0.304876
  6 5.5 278.2 0.311113
  7 6.5 203.7 0.306441
  8 7.5 169.9 0.305377
  9 8.5 206.7 0.305887
  10 9.5 262 0.306719
  11 10.5 206.5 0.304317
  12 11.5 171.1 0.309125
  13 12.5 212.7 0.307851
  14 13.5 272.2 0.308531
  15 14.5 189.8 0.305096
  16 15.5 171.2 0.306424
  17 16.5 233.1 0.305202
  18 17.5 257.3 0.305452
  19 18.5 182.5 0.301752
  20 19.5 174.8 0.304253
  21 20.5 242.3 0.308197
  22 21.5 252.6 0.3105
  23 22.5 175.2 0.310298
  24 23.5 181.5 0.30287
  25 24.5 254.1 0.305472
  26 25.5 237.3 0.30466
  27 26.5 172.6 0.301297
  28 27.5 185.5 0.303154
  29 28.5 264.4 0.309351
  30 29.5 224.3 0.306771
  31 30.5 170.3 0.30642
  32 31.5 194.7 0.308814
  33 32.5 286.5 0.312457
  34 33.5 194.3 0.30592
  35 34.5 172.2 0.309357
  36 35.5 219.4 0.307245
  37 36.5 269.2 0.312138
  38 37.5 184.6 0.300946
  39 38.5 177.5 0.300044
  40 39.5 243.3 0.293441
  41 40.5 231 0.28387
  42 41.5 193.3 0.275158
  43 42.5 210.5 0.274192
  44 43.5 211.7 0.26559
  45 44.5 216.9 0.270135
  46 45.5 210.4 0.266798
  47 46.5 214.2 0.26864
  48 47.5 213.2 0.269071
  49 48.5 215.5 0.271257
  50 49.5 203.3 0.266928
  51 50.5 218.3 0.267107
  52 51.5 205.5 0.266712
  53 52.5 207.7 0.26978
  54 53.5 216.3 0.268568
  55 54.5 212 0.266815
  56 55.5 215.7 0.271137
  57 56.5 208.4 0.268729
  58 57.5 210.6 0.268316
  59 58.5 213.8 0.266761
