# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17453
  1 0.5 222.5 0.291132
  2 1.5 259.6 0.300045
  3 2.5 186.6 0.304555
  4 3.5 171.9 0.307822
  5 4.5 248.1 0.306688
  6 5.5 247.8 0.307698
  7 6.5 176.9 0.307238
  8 7.5 178.1 0.307443
  9 8.5 256.2 0.309416
  10 9.5 236.2 0.30673
  11 10.5 175 0.309197
  12 11.5 182.3 0.308754
  13 12.5 271.1 0.312555
  14 13.5 219.8 0.303916
  15 14.5 172 0.306055
  16 15.5 193 0.305378
  17 16.5 270.3 0.3059
  18 17.5 211 0.307333
  19 18.5 174 0.306381
  20 19.5 195.3 0.308237
  21 20.5 267.1 0.31203
  22 21.5 209.8 0.311833
  23 22.5 170.4 0.308712
  24 23.5 204 0.301905
  25 24.5 276.6 0.309186
  26 25.5 193.1 0.305183
  27 26.5 173.3 0.302204
  28 27.5 207.4 0.299049
  29 28.5 278 0.30758
  30 29.5 187.3 0.308369
  31 30.5 170.3 0.310444
  32 31.5 216.2 0.310006
  33 32.5 271.5 0.308241
  34 33.5 186.7 0.305495
  35 34.5 173.3 0.308212
  36 35.5 228 0.307396
  37 36.5 260 0.312156
  38 37.5 183.6 0.303838
  39 38.5 177.3 0.295202
  40 39.5 237.7 0.291409
  41 40.5 231.6 0.278671
  42 41.5 198.5 0.272901
  43 42.5 202.4 0.267091
  44 43.5 218.1 0.270566
  45 44.5 207.2 0.268164
  46 45.5 211.4 0.265079
  47 46.5 209.3 0.268291
  48 47.5 204.7 0.266165
  49 48.5 209.3 0.271147
  50 49.5 216.3 0.265195
  51 50.5 214.4 0.262552
  52 51.5 209.8 0.263406
  53 52.5 206.8 0.268318
  54 53.5 206.6 0.266477
  55 54.5 214.2 0.270488
  56 55.5 210.9 0.265886
  57 56.5 214.1 0.265159
  58 57.5 210.6 0.264092
  59 58.5 210.8 0.269544
  60 59.5 204.8 0.264551
  61 60.5 209.7 0.269292
  62 61.5 213.4 0.267261
  63 62.5 206.3 0.265972
  64 63.5 210 0.263879
  65 64.5 203.2 0.26692
  66 65.5 215.7 0.268029
  67 66.5 215.8 0.267294
  68 67.5 207.3 0.267789
  69 68.5 210.2 0.265411
  70 69.5 209 0.266389
  71 70.5 211.7 0.267546
  72 71.5 213.1 0.269654
  73 72.5 217.9 0.267837
  74 73.5 210.1 0.270116
  75 74.5 214 0.265991
  76 75.5 209.3 0.26755
  77 76.5 209.2 0.267735
  78 77.5 216.6 0.264028
  79 78.5 214.6 0.267915
  80 79.5 198.1 0.271348
  81 80.5 203 0.275598
  82 81.5 252 0.283796
  83 82.5 51.7 0.283207
200 83 17453
  1 0.5 210.8 0.29606
  2 1.5 260.4 0.306724
  3 2.5 198 0.305397
  4 3.5 172.9 0.308321
  5 4.5 227.3 0.307356
  6 5.5 262.6 0.311076
  7 6.5 182.8 0.306586
  8 7.5 173.9 0.309835
  9 8.5 246.5 0.310693
  10 9.5 251.4 0.311492
  11 10.5 173.5 0.309732
  12 11.5 179.7 0.310057
  13 12.5 267.3 0.310478
  14 13.5 224.9 0.306502
  15 14.5 173.3 0.305556
  16 15.5 186.3 0.303688
  17 16.5 275.7 0.310542
  18 17.5 213 0.307251
  19 18.5 169.8 0.310181
  20 19.5 199.1 0.308203
  21 20.5 274.8 0.310388
  22 21.5 201.7 0.310468
  23 22.5 169.9 0.310864
  24 23.5 209.3 0.307323
  25 24.5 271.1 0.310809
  26 25.5 194.2 0.306179
  27 26.5 172.9 0.306676
  28 27.5 208.8 0.305267
  29 28.5 274.6 0.309344
  30 29.5 189 0.3053
  31 30.5 171.4 0.30874
  32 31.5 217.3 0.312543
  33 32.5 272 0.31212
  34 33.5 184.7 0.306401
  35 34.5 172.5 0.307314
  36 35.5 232.2 0.308615
  37 36.5 261.3 0.310935
  38 37.5 179.2 0.301456
  39 38.5 177.3 0.298362
  40 39.5 241.7 0.292236
  41 40.5 230.8 0.282006
  42 41.5 192.6 0.275097
  43 42.5 204.2 0.274952
  44 43.5 216.3 0.270398
  45 44.5 206.6 0.272697
  46 45.5 209.6 0.266463
  47 46.5 208.6 0.267808
  48 47.5 214.3 0.270126
  49 48.5 207.7 0.27344
  50 49.5 215.8 0.270279
  51 50.5 215 0.267941
  52 51.5 203.3 0.26511
  53 52.5 211.4 0.264747
  54 53.5 208.2 0.268474
  55 54.5 211.8 0.267075
  56 55.5 211.6 0.26748
  57 56.5 215.5 0.266453
  58 57.5 204.4 0.263436
  59 58.5 205.9 0.269274
  60 59.5 211.7 0.268639
  61 60.5 210.7 0.267426
  62 61.5 212.9 0.267659
  63 62.5 207.4 0.267948
  64 63.5 211.2 0.26856
  65 64.5 209 0.267049
  66 65.5 213.1 0.266999
  67 66.5 211.4 0.269315
  68 67.5 213.3 0.268946
  69 68.5 214.1 0.267754
  70 69.5 204.3 0.270661
  71 70.5 211.6 0.27001
  72 71.5 215.6 0.268368
  73 72.5 211.8 0.268869
  74 73.5 212.2 0.269396
  75 74.5 211 0.264703
  76 75.5 213.1 0.270114
  77 76.5 209.2 0.270529
  78 77.5 213.1 0.266106
  79 78.5 209.5 0.27006
  80 79.5 197.8 0.272975
  81 80.5 206.4 0.281473
  82 81.5 244.8 0.286524
  83 82.5 59.1 0.287337
300 83 17453
  1 0.5 201.5 0.299307
  2 1.5 258.3 0.306115
  3 2.5 207.6 0.308127
  4 3.5 173.8 0.309051
  5 4.5 213.9 0.307992
  6 5.5 268.1 0.311774
  7 6.5 190.1 0.310552
  8 7.5 171.6 0.310229
  9 8.5 236.1 0.308309
  10 9.5 259.3 0.309539
  11 10.5 178.3 0.310415
  12 11.5 175.7 0.311633
  13 12.5 259.7 0.313821
  14 13.5 236.1 0.309808
  15 14.5 173.9 0.307147
  16 15.5 181.7 0.303998
  17 16.5 274 0.311076
  18 17.5 219.4 0.308597
  19 18.5 170.1 0.313326
  20 19.5 189.3 0.308893
  21 20.5 279.3 0.308246
  22 21.5 206.6 0.305855
  23 22.5 169.9 0.307744
  24 23.5 201.2 0.307795
  25 24.5 282.5 0.310353
  26 25.5 191.9 0.306124
  27 26.5 171.1 0.305309
  28 27.5 214.2 0.304928
  29 28.5 273.6 0.310143
  30 29.5 186 0.307034
  31 30.5 171.8 0.309819
  32 31.5 229.4 0.310834
  33 32.5 260.9 0.311813
  34 33.5 183 0.30724
  35 34.5 174 0.31054
  36 35.5 239.2 0.310027
  37 36.5 255.4 0.311105
  38 37.5 176.4 0.306471
  39 38.5 173.5 0.304672
  40 39.5 244.7 0.295027
  41 40.5 232.2 0.287024
  42 41.5 191.4 0.275854
